Subcategory,Name,Address,Phone,Map,Description,Profile URL
ค่ายซ้อมมวย,บ้านช่างไทย ศิลปะและมวยไทย,38 ถนนสุขุมวิท 63 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,02-391-3807,"https://maps.google.com/maps/place?q=13.728192,100.588181",มวยไชยา เป็น ศิลปะการต่อสู้ของไทย ที่มีบทบาทสำคัญในการปกป้องบ้านเมืองมาตั้งแต่โบราณกาล มวยไชยา มีที่มาจาก พ่อท่านมา แห่งวัดทุ่งจับช้าง ตำบลพุมเรียง อำเภอไชยา จังหวัดสุราษฎร์ธานี ซึ่งแต่เดิมก่อนพ่อท่านมาจะเข้าอุปสมบทนั้น ท่านเป็นทหารอยู่ในกรุงเทพฯ ดังนั้นมวยไชยาที่แท้จริงแล้วน่าจะเป็นมวยที่มีที่มาอันยาวไกลยากที่จะสืบสาวได้,https://www.yellowpages.co.th/profile/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%8A%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%B0%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2-93yEMnBpX
ค่ายซ้อมมวย,WUT มวยไทย,31/4 ถนนถ. ราชพฤกษ์ แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,082-031-2838,"https://maps.google.com/maps/place?q=13.770630228155,100.44431569573",สถานที่ให้บริการเทรนมวย weight training,https://www.yellowpages.co.th/profile/WUT-%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2-nbsp-dUXGVzTxB
ค่ายซ้อมมวย,Watchara MuayThai Gym,9 สุขุมวิท ซอย1 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,081-874-5566,"https://maps.google.com/maps/place?q=13.743831164376,100.55085285327",MuayThai training for everyone,https://www.yellowpages.co.th/profile/Watchara-MuayThai-Gym-nbsp-dUXGJI00I
ค่ายซ้อมมวย,ฟ้ากะรัตมวยไทยคาร์ดิโอ,218 อาคารชินธวัชชัย ถนนลาดหญ้า แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,No Phone,"https://maps.google.com/maps/place?q=13.726571725431,100.49458621709",ยิมมวยไทยเพื่อสุขภาพ เทคนิคมวยไทย คาร์ดิโอ เวทเทรนนิ่ง,https://www.yellowpages.co.th/profile/%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B8%81%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B8%B4%E0%B9%82%E0%B8%AD-dUXGIoevv
ค่ายซ้อมมวย,หมัดเด็ดมวยไทยยิม,"B Pro Bangna, 63 ซอย บางนา-ตราด 23 แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260",02-003-2267,"https://maps.google.com/maps/place?q=13.675149757642,100.63570699791",‘Private Boxing’ รูปแบบตัวต่อตัว,https://www.yellowpages.co.th/profile/%E0%B8%AB%E0%B8%A1%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%94%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%A2%E0%B8%B4%E0%B8%A1-dUXH8LyzH
ค่ายซ้อมมวย,Krugot Muay Thai & Fitness Gym,198/1 ช่องนนทรี ถนนถ. นนทรี แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,099-452-6419,"https://maps.google.com/maps/place?q=13.694297652489,100.53862222601",No Description,https://www.yellowpages.co.th/profile/Krugot-Muay-Thai-amp-Fitness-Gym-dUXHhZV6a
ค่ายซ้อมมวย,วายเอส คิ๊ก สปอร์ต ยิม,31/9  อาคารเจพีบิวดิ้ง ถนนสุขุมวิท 39 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,081-803-5148,"https://maps.google.com/maps/place?q=13.73284,100.57129","รับฝึกสอนมวยไทย, มวยสากล, รับสอนทั้งเด็กและผู้ใหญ่",https://www.yellowpages.co.th/profile/%E0%B8%A7%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B8%AA-%E0%B8%84%E0%B8%B4%E0%B9%8A%E0%B8%81-%E0%B8%AA%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%95-%E0%B8%A2%E0%B8%B4%E0%B8%A1-92JGAP0tO
ค่ายซ้อมมวย,หนึ่งอุบลมวยไทย,26/1 ถนนอุบล-ตระการ 13 ตำบลในเมือง อำเภอเมืองอุบลราชธานี จังหวัดอุบลราชธานี 34000,087-239-3504,"https://maps.google.com/maps/place?q=15.25302,104.87577","หนึ่งอุบลมวยไทยรับสอนมวยไทย-มวยสากล รับสอนมวยไชยาออกกำลังกายเพื่อสุขภาพ โดยหนึ่งอุบลศิษย์เลิศชัย อดีตแชมป์เปี้ยน มวยไทยเวทีลุมพินี 4 รุ่น และแชมป์มวยสากล PABA รับสอนมวยไทยไม่จำกัดเพศและอายุ ** ค่าเรียน 1000/เดือน (เสาร์-อาทิตย์ เวลา 16.00-18.00 น.) **ค่าเรียน 2000/เดือน (จันทร์-ศุกร์ เวลา 17.00-18.30 น.) หมายเหตุ : ต่างชาติ 6000/เดือน,",https://www.yellowpages.co.th/profile/%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2-93FtwoJD5
ค่ายซ้อมมวย,RSM Academy (Muay Thai),23 ถนนถ. สุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,02-661-6292,"https://maps.google.com/maps/place?q=13.736202188507,100.56254549506",No Description,https://www.yellowpages.co.th/profile/RSM-Academy-Muay-Thai-nbsp-dUXHcIR5k
ค่ายซ้อมมวย,บริษัท ไทเกอร์ มวยไทย (ไทยแลนด์) จำกัด,7/35 หมู่ 5 ซอยตาเอียด ตำบลฉลอง อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83130,076-367-071,No Map,เรียนมวยไทย,https://www.yellowpages.co.th/profile/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97-%E0%B9%84%E0%B8%97%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%81%E0%B8%A5%E0%B8%99%E0%B8%94%E0%B9%8C-%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94-938OrMLaa
ค่ายซ้อมมวย,บริษัท อินแกรม สปอร์ต (ประเทศไทย) จำกัด,3647/3 ถนนพระราม 4 แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,02-204-1970,No Map,"ค่ายมวย เปิดสอนมวยไทยศิลปะ,วิชาป้องกันตัว",https://www.yellowpages.co.th/profile/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1-%E0%B8%AA%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%95-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94-93jHvwmuu
ค่ายซ้อมมวย,บริษัท พยัคฆินทร์ บ็อกซิ่ง จำกัด,3 ซอย 58 ถนนอุดมสุข แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,02-748-8993,No Map,No Description,https://www.yellowpages.co.th/profile/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97-%E0%B8%9E%E0%B8%A2%E0%B8%B1%E0%B8%84%E0%B8%86%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-%E0%B8%9A%E0%B9%87%E0%B8%AD%E0%B8%81%E0%B8%8B%E0%B8%B4%E0%B9%88%E0%B8%87-%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94-93Y4gDwp8
ค่ายซ้อมมวย,บริษัท ครูดามมวยไทยกรุ๊ป จำกัด,999 ซอย 55/8 ถนนรามอินทรา แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,02-363-6618,No Map,รับสอนมวยไทยและจำหน่ายอุปกรณ์มวยไทย,https://www.yellowpages.co.th/profile/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97-%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%94%E0%B8%B2%E0%B8%A1%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B9%8A%E0%B8%9B-%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94-93XDHryGf
ค่ายซ้อมมวย,สมาพันธ์มวยอาชีพภาคใต้ สนามมวย,312 ถนนสัจจกุล ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,074-253-414,No Map,No Description,https://www.yellowpages.co.th/profile/%E0%B8%AA%E0%B8%A1%E0%B8%B2%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%8A%E0%B8%B5%E0%B8%9E%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B9%83%E0%B8%95%E0%B9%89-%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%A1%E0%B8%A7%E0%B8%A2-92Hsstpwa
ค่ายซ้อมมวย,บริษัท มวยไทยโลก จำกัด,317 ถนนพหลโยธิน ตำบลประชาธิปัตย์ อำเภอธัญบุรี จังหวัดปทุมธานี 12130,02-992-0096,No Map,สอนมวยไทย ค่ายซ้อมมวย,https://www.yellowpages.co.th/profile/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97-%E0%B8%A1%E0%B8%A7%E0%B8%A2%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%82%E0%B8%A5%E0%B8%81-%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94-7eQiA4DxV
